day,wearer,type,slug,name
2012-09-03,norm,tshirt,best-buddies,Best Buddies
2012-09-04,norm,tshirt,pounce,Pounce
2012-09-05,norm,tshirt,calv-and-hobbwood-blues,Calv and Hobbwood Blues
2012-09-06,norm,tshirt,they-aim-to-misbehave,They aim to misbehave
2012-09-07,norm,tshirt,washasaurus,Washasaurus
2012-09-09,norm,tshirt,mudders-milk,Mudder's Milk
2012-09-12,norm,tshirt,blue-sun,Blue Sun
2012-09-13,norm,tshirt,curse-your-sudden-but-inevitable-betrayal,"""Curse your sudden but inevitable betrayal"""
2012-09-14,norm,tshirt,serenity-valley,Serenity Valley
2012-09-15,norm,tshirt,greetings-from-miranda,Greetings from Miranda
2012-09-16,norm,tshirt,tg-freight,TG Freight
2012-09-17,norm,tshirt,lv-426-hadleys-hope,LV-426 Hadley's Hope
2012-09-18,norm,tshirt,fiorina-161-fury,"Fiorina 161 ""Fury"""
2012-09-19,norm,tshirt,uss-sulaco,U.S.S. Sulaco
2012-09-20,norm,tshirt,weyland-yutani,Weyland-Yutani
2012-09-21,norm,tshirt,the-raven-tavern,The Raven Tavern
2012-09-22,norm,tshirt,lao-che-air-freight,Lao Che Air Freight
2012-09-23,norm,tshirt,bantu-wind,Bantu Wind
2012-09-24,norm,tshirt,cuesta-verde,Cuesta Verde
2012-09-26,norm,tshirt,amity-island,Amity Island
2012-09-27,norm,tshirt,soylent-corporation,Soylent Corporation
2012-09-28,norm,tshirt,charlie-crokers-coach-tours,Charlie Croker's Coach Tours
2012-09-28,norm,tshirt,waynestock,Waynestock
2012-09-29,norm,tshirt,seahaven-island,Seahaven Island
2012-09-30,norm,tshirt,pescadero-state-hospital,Pescadero State Hospital
2012-10-02,norm,tshirt,omni-consumer-products,Omni Consumer Products
2012-10-03,norm,tshirt,stovington-academy,Stovington Academy
2012-10-04,norm,tshirt,rekall,Rekall
2012-10-05,norm,tshirt,duke-duke,Duke & Duke
2012-10-06,norm,tshirt,miss-scarlet-in-the-hall-with-a-revolver,"Miss Scarlet, in the hall with a revolver"
2012-10-07,norm,tshirt,a-trifling-matter,A trifling matter
2012-10-08,norm,tshirt,risky-engineering,Risky engineering
2012-10-09,norm,tshirt,ship-in-a-bottle,Ship in a bottle
2012-10-10,norm,tshirt,fire-eagle-pre-launch-version-no-branding-on-the-b,Fire Eagle pre-launch version (no branding on the back)
2012-10-11,norm,tshirt,the-circle-of-laffs,The circle of laffs
2012-10-12,norm,tshirt,rainbow-worrier,Rainbow worrier
2012-10-13,norm,tshirt,in-soviet-russia-shirt-wears-you,"In Soviet Russia, shirt wears you"
2012-10-14,norm,tshirt,20-cooler,20% cooler
2012-10-15,norm,tshirt,pandamonium,Pandamonium
2012-10-16,norm,tshirt,trivial-matters,Trivial matters
2012-10-17,norm,tshirt,redshirt,Redshirt
2012-10-19,norm,tshirt,words-on-a-shirt,Words on a shirt
2012-10-20,norm,tshirt,hello-my-name-is-inigo-montoya-you-killed-my-fathe,"Hello my name is… Inigo Montoya, you killed my father, prepare to die"
2012-10-21,norm,tshirt,hoffbrau-steak-house-austin-tx,"Hoffbrau steak house, Austin TX"
2012-10-22,norm,tshirt,rock-paper-shotgun,"Rock, paper, shotgun"
2012-10-23,norm,tshirt,vitruvian-steve,Vitruvian Steve
2012-10-24,norm,tshirt,vitruvian-gir,Vitruvian Gir
2012-10-25,norm,tshirt,dib-and-the-et,Dib and the E.T.
2012-10-26,norm,tshirt,encom,Encom
2012-10-27,norm,tshirt,follow-me-im-a-social-media-expert,"Follow me, I'm a Social Media Expert"
2012-10-28,norm,tshirt,toasting-85-complete,Toasting 85% complete
2012-10-29,norm,tshirt,geeks-love,Geeks love…
2012-10-30,norm,tshirt,fhloston-paradise,Fhloston Paradise
2012-11-01,norm,tshirt,its-a-trap,It's a trap
2012-11-02,norm,tshirt,usac-lewis-clark,USAC Lewis & Clark
2012-11-03,norm,tshirt,khaaaaaan,Khaaaaaan!!
2012-11-04,norm,tshirt,danger-mouse,Danger Mouse
2012-11-05,norm,tshirt,lego-ipod,Lego iPod
2012-11-06,norm,tshirt,valley-forge,Valley Forge
2012-11-07,norm,tshirt,cable-54,Cable 54
2012-11-08,norm,tshirt,weve-got-some-work-to-do-now,We've got some work to do now
